(* --------------------------------------------------------- *)
(*  Variant 23 *)
(* --------------------------------------------------------- *)
(*  linear dependence (y = ax + b) *)
(*  linear regression coefficients: *)
(*  a = 1.794, b = 0.760 *)
(* --------------------------------------------------------- *)
(*  File format: *)
(*     [X(<point number>) = <value x>] *** [Y(<point number>) = <value у>] *)
(* --------------------------------------------------------- *)
(*  --== sudden comment ==-- *)
[X(1) = -8.967455871416574] *** [Y(1) = -16.48008236853471]
[X(2) = -5.541849941562658] *** [Y(2) = -12.432749776088194]
[X(3) = -6.717130078591692] *** [Y(3) = -14.585734381751134]
[X(4) = -7.595501446090044] *** [Y(4) = -16.655369444053505]
[X(5) = -7.753052907178967] *** [Y(5) = -15.592127007060338]
[X(6) = -9.028957084119401] *** [Y(6) = -15.621216621826918]
(*  --== sudden comment ==-- *)
[X(7) = -7.084227726240438] *** [Y(7) = -12.062529613710158]
(*  --== sudden comment ==-- *)
[X(8) = -12.444139075334927] *** [Y(8) = -17.00117891603881]
[X(9) = -8.020986097632075] *** [Y(9) = -13.031385124858565]
[X(10) = -7.392385439959514] *** [Y(10) = -14.927616839959931]
[X(11) = -11.003718360728735] *** [Y(11) = -14.527279936100905]
[X(12) = -6.776846032791695] *** [Y(12) = -14.652225246827134]
[X(13) = -6.37786167587406] *** [Y(13) = -14.210566396339425]
[X(14) = -8.862969018944023] *** [Y(14) = -13.610628239053975]
[X(15) = -5.753208932025519] *** [Y(15) = -11.49094640153561]
[X(16) = -8.91126490749438] *** [Y(16) = -13.439601750982526]
[X(17) = -5.395476302698081] *** [Y(17) = -13.3578497411428]
[X(18) = -7.049700769902386] *** [Y(18) = -11.267353701129064]
(*  --== sudden comment ==-- *)
[X(19) = -6.185281588400279] *** [Y(19) = -9.353785398174875]
(*  --== sudden comment ==-- *)
[X(20) = -3.8137955851285774] *** [Y(20) = -9.630177062558461]
[X(21) = -8.935088737847149] *** [Y(21) = -15.033835888803365]
[X(22) = -7.034100660618992] *** [Y(22) = -8.430901973975747]
[X(23) = -5.835967368259188] *** [Y(23) = -11.15198090318766]
